Treatment,Titre,Fitness
BIM2 + SM,1.00E+04,0.731201976261823
BIM2 + SM,1.00E+04,0.469187934768003
BIM2 + SM,1.00E+04,0.959702593843643
BIM2 + SM,1.00E+04,0.366553074037503
BIM2 + SM,1.00E+04,1.17296983692001
BIM2 + SM,1.00E+04,0.733106148075005
BIM2 + SM,1.00E+06,0.68607669706642
BIM2 + SM,1.00E+06,0.71778751214508
BIM2 + SM,1.00E+06,0.912309873160006
BIM2 + SM,1.00E+06,0.810415523690187
BIM2 + SM,1.00E+06,0.678344002074222
BIM2 + SM,1.00E+06,0.956896445908428
BIM2 + SM,1.00E+08,0.964441865912007
BIM2 + SM,1.00E+08,1.06257267579813
BIM2 + SM,1.00E+08,0.908638606064795
BIM2 + SM,1.00E+08,0.602776166195004
BIM2 + SM,1.00E+08,0.953037992497507
BIM2 + SM,1.00E+08,0.938375869536006
BIM2 + SM,1.00E+10,0.354977713804739
BIM2 + SM,1.00E+10,0.271431036642646
BIM2 + SM,1.00E+10,0.260659963760002
BIM2 + SM,1.00E+10,0.327741572080591
BIM2 + SM,1.00E+10,0.281512760860802
BIM2 + SM,1.00E+10,0.344991128505885
